Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0.00437225, 0.00037083, 0.000785538, 0.00158604, 10257, 4332, 360390
0.00333123, 0.000306309, 0.0007342, 0.00188074, 9085, 4019, 383883
0.00241132, 0.000295938, 0.000730108, 0.00129424, 7933, 3781, 264573
0.000932331, 0.000277474, 0.000653956, 0.000431902, 6833, 3560, 55473
0.00240582, 0.00025066, 0.000665308, 0.00129683, 5851, 3293, 242925
0.000887244, 0.000220686, 0.000665728, 0.000454283, 4987, 3005, 54489
0.000857678, 0.000227347, 0.000629201, 0.000419714, 4441, 2735, 43788
0.000731728, 0.000190991, 0.000539767, 0.0003616, 4418, 2648, 40836
0.00055318, 0.000197482, 0.000354948, 0.000211011, 4449, 2660, 21771
0.000488219, 0.000190591, 0.000296668, 0.000165107, 4445, 2660, 16728
0.000295648, 0.000200713, 9.3795e-05, 0, 4445, 2660, 0
0.000696053, 0.000199962, 0.00049489, 0.000322789, 4450, 2654, 36654
0.000290577, 0.000198122, 9.1655e-05, 0, 4399, 2642, 0
0.000292437, 0.000198622, 9.2765e-05, 0, 4434, 2643, 0
0.000330443, 0.000221515, 0.000107928, 0, 4428, 2654, 0
0.000317881, 0.000213744, 0.000102857, 0, 4421, 2650, 0
0.000455973, 0.00030988, 0.000144453, 0, 4446, 2695, 0
0.000302039, 0.000192141, 0.000108778, 1.7422e-05, 4428, 2647, 1353
0.000289817, 0.000194842, 9.4045e-05, 0, 4424, 2632, 0
0.000291737, 0.000201242, 8.9165e-05, 0, 4466, 2668, 0
0.000284915, 0.000194191, 8.9724e-05, 0, 4406, 2650, 0
0.00049775, 0.000189751, 0.000306699, 0.000176557, 4438, 2673, 18696
0.000319001, 0.000211144, 0.000106727, 0, 4470, 2699, 0
0.000288476, 0.000195522, 9.1784e-05, 0, 4411, 2628, 0
0.000286086, 0.000194991, 8.9924e-05, 0, 4431, 2670, 0
0.000291196, 0.000198831, 9.1155e-05, 0, 4456, 2677, 0
0.000297608, 0.000202423, 9.4095e-05, 0, 4437, 2655, 0
0.000287405, 0.000198431, 8.7624e-05, 0, 4413, 2653, 0
0.000290966, 0.000199712, 9.0264e-05, 0, 4449, 2660, 0
0.000311009, 0.000200522, 0.000109147, 0, 4470, 2695, 0
0.000323722, 0.000217764, 0.000105017, 0, 4445, 2683, 0
0.000285435, 0.000195341, 8.8934e-05, 0, 4437, 2652, 0
0.00031573, 0.000220655, 9.4105e-05, 0, 4451, 2671, 0
0.000284015, 0.000193261, 8.9784e-05, 0, 4427, 2644, 0
0.000285336, 0.000195011, 8.9394e-05, 0, 4415, 2645, 0
0.000289856, 0.000198712, 9.0214e-05, 0, 4445, 2683, 0
0.000286126, 0.000196661, 8.8294e-05, 0, 4466, 2668, 0
0.000289636, 0.000199032, 8.9534e-05, 0, 4467, 2685, 0
0.00031691, 0.000213844, 0.000101886, 0, 4431, 2645, 0
0.000283965, 0.000193261, 8.9504e-05, 0, 4449, 2660, 0
0.000284175, 0.000193291, 8.9934e-05, 0, 4432, 2655, 0
0.000288386, 0.000197861, 8.9344e-05, 0, 4437, 2656, 0
0.000295326, 0.000201441, 9.3075e-05, 0, 4456, 2683, 0
0.000297677, 0.000201082, 9.5475e-05, 0, 4428, 2678, 0
0.000385681, 0.000286585, 9.7806e-05, 0, 4446, 2650, 0
0.000282925, 0.000192461, 8.9494e-05, 0, 4426, 2650, 0
0.000362677, 0.000235007, 0.00012645, 0, 4411, 2628, 0
0.000330262, 0.000223936, 0.000105206, 0, 4414, 2630, 0
0.000297056, 0.000203962, 9.1934e-05, 0, 4429, 2646, 0
0.000283715, 0.000194371, 8.8454e-05, 0, 4420, 2646, 0
0.000282675, 0.00019228, 8.9014e-05, 0, 4452, 2705, 0
